ACARAJÉ        Comida tipimente baiana                                                    
AMARELINHA     Jogo de pular em uma e em duas pernas                                      
BILL GATES     Fundador da Microsoft                                                      
BOB ESPONJA    Personagem amarelo de desenho infantil que vive no fundo do mar            
CALCULADORA    Maquina para resolver contas matemáticas                                   
CELULAR        Computador portátil                                                        
RONALDINHO     Conhecido como bruxo no futebol                                            
NEYMAR         Jogador brasileiro que atua no PSG                                         
DALMATA        Raça de cachorro                                                           
ESTOJO         Guarda Lápis                                                               
GARRAFA        Recipiente em forma de cilindro                                            
